sound_id,sound_path,volume_db,min_pitch,max_pitch,description
-1,音效文件路径,音量(dB),最小音调,最大音调,描述
player_attack,res://assets/audio/player_attack.wav,0,0.9,1.1,玩家普通攻击
player_hit,res://assets/audio/player_hit.wav,-5,0.8,1.2,玩家受击
player_dash,res://assets/audio/dash.wav,-2,1,1,玩家冲刺
player_skill_q,res://assets/audio/skill_q.wav,0,1,1,玩家Q技能
player_skill_e,res://assets/audio/skill_e.wav,0,1,1,玩家E技能
player_death,res://assets/audio/glass_shatter.wav,5,1,1,玩家死亡
enemy_attack,res://assets/audio/enemy_attack.wav,-5,0.8,1.3,敌人攻击
enemy_death,res://assets/audio/pop_squish.wav,-10,0.9,1.4,敌人死亡
enemy_hit,res://assets/audio/enemy_hit.wav,-8,0.9,1.2,敌人受击
